prompt_id,domain,prompt_text
QA001,Factual QA,Who was the second person to walk on the moon during the Apollo 11 mission?
QA002,Factual QA,What is the capital city of Australia and in which state is it located?
QA003,Factual QA,In what year was the first model of the Ford Model T produced?
QA004,Factual QA,What are the five permanent member countries of the UN Security Council?
QA005,Factual QA,What is the chemical formula for caffeine?
QA006,Factual QA,Who wrote the novel 'One Hundred Years of Solitude'?
QA007,Factual QA,"What is the approximate speed of light in a vacuum, in kilometers per second?"
QA008,Factual QA,Which element has the atomic number 79?
QA009,Factual QA,Who painted the 'The Starry Night'?
QA010,Factual QA,What is the largest moon in our solar system and which planet does it orbit?
QA011,Factual QA,What is the primary function of the mitochondria in a eukaryotic cell?
QA012,Factual QA,Who was the first woman to win a Nobel Prize?
QA013,Factual QA,What is the term for the study of earthquakes?
QA014,Factual QA,In which year did the Berlin Wall fall?
QA015,Factual QA,"What is the main ingredient in the traditional Japanese soup, miso soup?"
QA016,Factual QA,Which programming language was developed by James Gosling at Sun Microsystems?
QA017,Factual QA,What is the name of the strait that separates Asia from North America?
QA018,Factual QA,Who is credited with inventing the World Wide Web?
QA019,Factual QA,What is the deepest point in Earth's oceans?
QA020,Factual QA,What are the three laws of thermodynamics?
QA021,Factual QA,Who was the ruler of Egypt during the time of the Roman conquest?
QA022,Factual QA,What is the currency of Switzerland?
QA023,Factual QA,Which artist is known for the 'Campbell's Soup Cans' series?
QA024,Factual QA,What is the boiling point of water at standard atmospheric pressure in Celsius?
QA025,Factual QA,Who wrote the epic poems 'The Iliad' and 'The Odyssey'?
QA026,Factual QA,What is the most abundant gas in the Earth's atmosphere?
QA027,Factual QA,Which continent is the only one to lie in all four hemispheres?
QA028,Factual QA,What is the philosophical principle known as 'Occam's Razor'?
QA029,Factual QA,Who developed the theory of general relativity?
QA030,Factual QA,What is the process by which plants use sunlight to synthesize foods from carbon dioxide and water?
QA031,Factual QA,What is the highest mountain in North America?
QA032,Factual QA,Which famous scientist is known for the three laws of motion?
QA033,Factual QA,What is the main component of natural gas?
QA034,Factual QA,Who directed the 1994 film 'Pulp Fiction'?
QA035,Factual QA,What is the name of the galaxy that contains our Solar System?
